Fecha,Ticker,Empresa,Sector,Precio,PE,ROE,ProfitMargin,MarketCap,Beta,DividendYield,EPSGrowth,RSI,RSI_Source,Dist52wHigh,DataSource,filtrado,reason,Sentimiento,TieneSuper,Senal,Score,ScoreFund,ScoreTec,ScoreSent,ScoreSuper,Perfil,EPS,Income,Ranking,FundamentalScore,RSI_Raw
2026-03-08,MSFT,MSFT,N/A,$408.96,25.59,34.39%,39.04%,3036.79B,1.1,0.00%,19.01%,47.32,,26.40%,Finviz,TRUE,PASSED,NEUTRAL,N/A,NEUTRAL,42,25,17,0,0,Balanceado,15.98,119.26B,1,1314,47.32
2026-03-08,ADBE,ADBE,N/A,$283.62,16.98,55.43%,30.00%,116.43B,1.52,0.00%,26.35%,57.3,,37.30%,Finviz,TRUE,PASSED,NEUTRAL,N/A,NEUTRAL,44,27,17,0,0,Arriesgado,16.71,7.13B,2,551,57.3
2026-03-08,BABA,BABA,N/A,$130.79,18.01,12.39%,12.40%,293.87B,0.45,0.00%,8.74%,21.46,,32.10%,Finviz,FALSE,EPS_GROWTH,NEUTRAL,N/A,COMPRA,46,21,25,0,0,FILTRADO,7.26,17.40B,3,340,21.46
2026-03-08,CRM,CRM,N/A,$202.11,25.88,12.40%,17.96%,186.55B,1.3,0.00%,14.88%,51.52,,32.20%,Finviz,TRUE,PASSED,NEUTRAL,N/A,NEUTRAL,36,19,17,0,0,Balanceado,7.81,7.46B,4,287,51.52
2026-03-08,PYPL,PYPL,N/A,$46.97,8.68,25.73%,15.70%,43.24B,1.45,0.00%,5.78%,$51.02,,40.90%,Finviz,FALSE,EPS_GROWTH,NEUTRAL,N/A,NEUTRAL,44,27,17,0,0,FILTRADO,5.41,5.23B,5,199,51.02
2026-03-08,QCOM,QCOM,N/A,$135.69,28.03,21.48%,11.96%,144.78B,1.27,0.00%,11.24%,$33.69,,34.10%,Finviz,TRUE,PASSED,NEUTRAL,N/A,COMPRA,44,22,22,0,0,Balanceado,4.84,5.37B,6,183,33.69
2026-03-08,NFLX,NFLX,N/A,$99.02,39.18,42.76%,24.25%,418.08B,1.71,0.00%,3.82%,$73.91,,26.20%,Finviz,FALSE,EPS_GROWTH,NEUTRAL,N/A,ESPERAR,32,25,7,0,0,FILTRADO,2.53,10.98B,7,153,73.91
2026-03-08,DEO,DEO,N/A,$81.80,18.93,22.03%,12.14%,45.47B,0.47,0.00%,6.48%,$34.42,,29.90%,Finviz,FALSE,EPS_GROWTH,NEUTRAL,N/A,COMPRA,46,24,22,0,0,FILTRADO,4.32,2.41B,8,146,34.42
2026-03-08,PFE,PFE,N/A,$27.05,19.96,8.87%,12.38%,153.81B,0.42,0.00%,2.83%,53.27,,3.20%,Finviz,FALSE,EPS_GROWTH,NEUTRAL,N/A,NEUTRAL,22,17,5,0,0,FILTRADO,1.36,7.75B,9,95,53.27
2026-03-08,NKE,NKE,N/A,$57.01,33.43,17.95%,5.42%,84.40B,1.29,0.00%,2.30%,31.65,,28.90%,Finviz,FALSE,EPS_GROWTH,NEUTRAL,N/A,EVITAR,37,15,22,0,0,FILTRADO,1.71,2.52B,10,69,31.65
2026-03-08,LAC,LAC,N/A,$4.55,0,-42.69%,0.00%,1.10B,1.15,0.00%,-0.32%,41.62,,56.70%,Finviz,FALSE,"PE, EPS_GROWTH, PROFIT_MARGIN, ROE",NEUTRAL,N/A,NEUTRAL,27,10,17,0,0,FILTRADO,-1.03,-0.24B,11,-33,41.62